"","Tm","Year","Rank_rb","good_rb_def","Rank_wr","good_wr_def","Rank_te","good_te_def","Rank_qb","good_qb_def","tot_rank","good_def"
"1","New York Jets",2009,28,"Yes",32,"Yes",31,"Yes",32,"Yes",123,"Yes"
"2","Seattle Seahawks",2012,27,"Yes",31,"Yes",31,"Yes",32,"Yes",121,"Yes"
"3","Seattle Seahawks",2013,30,"Yes",32,"Yes",26,"Yes",32,"Yes",120,"Yes"
"4","Baltimore Ravens",2011,30,"Yes",26,"Yes",31,"Yes",32,"Yes",119,"Yes"
"5","Minnesota Vikings",2017,32,"Yes",24,"Yes",32,"Yes",30,"Yes",118,"Yes"
"6","Pittsburgh Steelers",2010,32,"Yes",25,"Yes",27,"Yes",32,"Yes",116,"Yes"
"7","Pittsburgh Steelers",2012,32,"Yes",28,"Yes",24,"Yes",31,"Yes",115,"Yes"
"8","Jacksonville Jaguars",2017,21,"Yes",32,"Yes",29,"Yes",32,"Yes",114,"Yes"
"9","Baltimore Ravens",2009,31,"Yes",25,"Yes",29,"Yes",27,"Yes",112,"Yes"
"10","Houston Texans",2011,31,"Yes",23,"Yes",29,"Yes",29,"Yes",112,"Yes"
"11","Buffalo Bills",2014,28,"Yes",21,"Yes",32,"Yes",31,"Yes",112,"Yes"
"12","Pittsburgh Steelers",2011,29,"Yes",32,"Yes",19,"Yes",31,"Yes",111,"Yes"
"13","Seattle Seahawks",2014,27,"Yes",32,"Yes",18,"Yes",32,"Yes",109,"Yes"
"14","Cincinnati Bengals",2013,29,"Yes",23,"Yes",28,"Yes",27,"Yes",107,"Yes"
"15","Houston Texans",2016,19,"Yes",28,"Yes",30,"Yes",30,"Yes",107,"Yes"
"16","Seattle Seahawks",2016,28,"Yes",19,"Yes",29,"Yes",29,"Yes",105,"Yes"
"17","Minnesota Vikings",2018,24,"Yes",30,"Yes",20,"Yes",30,"Yes",104,"Yes"
"18","Seattle Seahawks",2015,32,"Yes",30,"Yes",10,"No",31,"Yes",103,"Yes"
"19","New England Patriots",2016,29,"Yes",24,"Yes",25,"Yes",24,"Yes",102,"Yes"
"20","Denver Broncos",2015,26,"Yes",31,"Yes",13,"No",32,"Yes",102,"Yes"
"21","Houston Texans",2015,24,"Yes",27,"Yes",25,"Yes",26,"Yes",102,"Yes"
"22","San Diego Chargers",2010,23,"Yes",31,"Yes",17,"No",31,"Yes",102,"Yes"
"23","Baltimore Ravens",2018,31,"Yes",26,"Yes",15,"No",29,"Yes",101,"Yes"
"24","Minnesota Vikings",2016,26,"Yes",30,"Yes",18,"Yes",27,"Yes",101,"Yes"
"25","Kansas City Chiefs",2014,25,"Yes",23,"Yes",23,"Yes",30,"Yes",101,"Yes"
"26","New Orleans Saints",2013,23,"Yes",28,"Yes",21,"Yes",29,"Yes",101,"Yes"
"27","Denver Broncos",2009,15,"No",31,"Yes",26,"Yes",29,"Yes",101,"Yes"
"28","Buffalo Bills",2018,8,"No",29,"Yes",32,"Yes",32,"Yes",101,"Yes"
"29","San Francisco 49ers",2012,31,"Yes",25,"Yes",19,"Yes",24,"Yes",99,"Yes"
"30","Jacksonville Jaguars",2018,27,"Yes",31,"Yes",17,"No",24,"Yes",99,"Yes"
"31","Carolina Panthers",2013,26,"Yes",29,"Yes",13,"No",31,"Yes",99,"Yes"
"32","Cincinnati Bengals",2009,23,"Yes",27,"Yes",24,"Yes",25,"Yes",99,"Yes"
"33","Chicago Bears",2018,32,"Yes",10,"No",25,"Yes",31,"Yes",98,"Yes"
"34","San Francisco 49ers",2011,32,"Yes",14,"No",28,"Yes",24,"Yes",98,"Yes"
"35","New York Jets",2015,31,"Yes",14,"No",30,"Yes",22,"Yes",97,"Yes"
"36","Kansas City Chiefs",2015,29,"Yes",8,"No",32,"Yes",28,"Yes",97,"Yes"
"37","New York Giants",2016,27,"Yes",26,"Yes",13,"No",31,"Yes",97,"Yes"
"38","San Francisco 49ers",2013,25,"Yes",24,"Yes",20,"Yes",28,"Yes",97,"Yes"
"39","Green Bay Packers",2010,30,"Yes",30,"Yes",7,"No",29,"Yes",96,"Yes"
"40","Chicago Bears",2012,29,"Yes",22,"Yes",16,"No",29,"Yes",96,"Yes"
"41","New York Jets",2011,24,"Yes",30,"Yes",14,"No",28,"Yes",96,"Yes"
"42","Tennessee Titans",2018,29,"Yes",12,"No",28,"Yes",26,"Yes",95,"Yes"
"43","Denver Broncos",2016,16,"No",32,"Yes",15,"No",32,"Yes",95,"Yes"
"44","Detroit Lions",2014,29,"Yes",22,"Yes",15,"No",28,"Yes",94,"Yes"
"45","Arizona Cardinals",2012,15,"No",23,"Yes",26,"Yes",30,"Yes",94,"Yes"
"46","Baltimore Ravens",2010,29,"Yes",10,"No",30,"Yes",24,"Yes",93,"Yes"
"47","New York Jets",2012,13,"No",32,"Yes",20,"Yes",28,"Yes",93,"Yes"
"48","Los Angeles Chargers",2017,14,"No",25,"Yes",24,"Yes",29,"Yes",92,"Yes"
"49","Carolina Panthers",2009,10,"No",30,"Yes",22,"Yes",30,"Yes",92,"Yes"
"50","Chicago Bears",2017,20,"Yes",20,"Yes",23,"Yes",28,"Yes",91,"Yes"
"51","Seattle Seahawks",2017,25,"Yes",14,"No",25,"Yes",26,"Yes",90,"Yes"
"52","Baltimore Ravens",2012,17,"No",18,"Yes",29,"Yes",26,"Yes",90,"Yes"
"53","Arizona Cardinals",2016,32,"Yes",5,"No",32,"Yes",20,"Yes",89,"Yes"
"54","New York Jets",2010,31,"Yes",16,"No",25,"Yes",17,"No",89,"Yes"
"55","Cincinnati Bengals",2012,21,"Yes",29,"Yes",12,"No",27,"Yes",89,"Yes"
"56","Jacksonville Jaguars",2016,20,"Yes",27,"Yes",16,"No",26,"Yes",89,"Yes"
"57","Cincinnati Bengals",2011,19,"Yes",19,"Yes",26,"Yes",25,"Yes",89,"Yes"
"58","San Francisco 49ers",2009,18,"Yes",17,"No",28,"Yes",26,"Yes",89,"Yes"
"59","Cincinnati Bengals",2015,18,"Yes",21,"Yes",20,"Yes",30,"Yes",89,"Yes"
"60","Carolina Panthers",2015,17,"No",22,"Yes",21,"Yes",29,"Yes",89,"Yes"
"61","Pittsburgh Steelers",2017,8,"No",26,"Yes",30,"Yes",24,"Yes",88,"Yes"
"62","Baltimore Ravens",2013,27,"Yes",13,"No",27,"Yes",20,"Yes",87,"Yes"
"63","Chicago Bears",2010,26,"Yes",20,"Yes",14,"No",27,"Yes",87,"Yes"
"64","Cleveland Browns",2011,8,"No",31,"Yes",18,"Yes",30,"Yes",87,"Yes"
"65","San Francisco 49ers",2014,26,"Yes",24,"Yes",9,"No",27,"Yes",86,"Yes"
"66","Miami Dolphins",2010,25,"Yes",26,"Yes",13,"No",22,"Yes",86,"Yes"
"67","Arizona Cardinals",2015,23,"Yes",28,"Yes",11,"No",24,"Yes",86,"Yes"
"68","Dallas Cowboys",2015,6,"No",26,"Yes",31,"Yes",23,"Yes",86,"Yes"
"69","Denver Broncos",2012,28,"Yes",30,"Yes",2,"No",25,"Yes",85,"Yes"
"70","Dallas Cowboys",2018,23,"Yes",27,"Yes",12,"No",23,"Yes",85,"Yes"
