"","wins","losses","logo_ref","Year"
"1","13","3","Patriots",2012
"2","8","8","Jets",2012
"3","6","10","Dolphins",2012
"4","6","10","Bills",2012
"5","12","4","Ravens",2012
"6","12","4","Steelers",2012
"7","9","7","Bengals",2012
"8","4","12","Browns",2012
"9","10","6","Texans",2012
"10","9","7","Titans",2012
"11","5","11","Jaguars",2012
"12","2","14","Colts",2012
"13","8","8","Broncos",2012
"14","8","8","Chargers",2012
"15","8","8","Raiders",2012
"16","7","9","Chiefs",2012
"17","9","7","Giants",2012
"18","8","8","Eagles",2012
"19","8","8","Cowboys",2012
"20","5","11","Redskins",2012
"21","15","1","Packers",2012
"22","10","6","Lions",2012
"23","8","8","Bears",2012
"24","3","13","Vikings",2012
"25","13","3","Saints",2012
"26","10","6","Falcons",2012
"27","6","10","Panthers",2012
"28","4","12","Buccaneers",2012
"29","13","3","49ers",2012
"30","8","8","Cardinals",2012
"31","7","9","Seahawks",2012
"32","2","14","Rams",2012
"33","12","4","Patriots",2013
"34","7","9","Dolphins",2013
"35","6","10","Jets",2013
"36","6","10","Bills",2013
"37","10","6","Ravens",2013
"38","10","6","Bengals",2013
"39","8","8","Steelers",2013
"40","5","11","Browns",2013
"41","12","4","Texans",2013
"42","11","5","Colts",2013
"43","6","10","Titans",2013
"44","2","14","Jaguars",2013
"45","13","3","Broncos",2013
"46","7","9","Chargers",2013
"47","4","12","Raiders",2013
"48","2","14","Chiefs",2013
"49","10","6","Redskins",2013
"50","9","7","Giants",2013
"51","8","8","Cowboys",2013
"52","4","12","Eagles",2013
"53","11","5","Packers",2013
"54","10","6","Vikings",2013
"55","10","6","Bears",2013
"56","4","12","Lions",2013
"57","13","3","Falcons",2013
"58","7","9","Panthers",2013
"59","7","9","Saints",2013
"60","7","9","Buccaneers",2013
"61","11","4","49ers",2013
"62","11","5","Seahawks",2013
"63","7","8","Rams",2013
"64","5","11","Cardinals",2013
"65","12","4","Patriots",2014
"66","8","8","Jets",2014
"67","8","8","Dolphins",2014
"68","6","10","Bills",2014
"69","11","5","Bengals",2014
"70","8","8","Steelers",2014
"71","8","8","Ravens",2014
"72","4","12","Browns",2014
"73","11","5","Colts",2014
"74","7","9","Titans",2014
"75","4","12","Jaguars",2014
"76","2","14","Texans",2014
"77","13","3","Broncos",2014
"78","11","5","Chiefs",2014
"79","9","7","Chargers",2014
"80","4","12","Raiders",2014
"81","10","6","Eagles",2014
"82","8","8","Cowboys",2014
"83","7","9","Giants",2014
"84","3","13","Redskins",2014
"85","8","7","Packers",2014
"86","8","8","Bears",2014
"87","7","9","Lions",2014
"88","5","10","Vikings",2014
"89","12","4","Panthers",2014
"90","11","5","Saints",2014
"91","4","12","Falcons",2014
"92","4","12","Buccaneers",2014
"93","13","3","Seahawks",2014
"94","12","4","49ers",2014
"95","10","6","Cardinals",2014
"96","7","9","Rams",2014
"97","12","4","Patriots",2015
"98","9","7","Bills",2015
"99","8","8","Dolphins",2015
"100","4","12","Jets",2015
"101","11","5","Steelers",2015
"102","10","5","Bengals",2015
"103","10","6","Ravens",2015
"104","7","9","Browns",2015
"105","11","5","Colts",2015
"106","9","7","Texans",2015
"107","3","13","Jaguars",2015
"108","2","14","Titans",2015
"109","12","4","Broncos",2015
"110","9","7","Chargers",2015
"111","9","7","Chiefs",2015
"112","3","13","Raiders",2015
"113","12","4","Cowboys",2015
"114","10","6","Eagles",2015
"115","6","10","Giants",2015
"116","4","12","Redskins",2015
"117","12","4","Packers",2015
"118","11","5","Lions",2015
"119","7","9","Vikings",2015
"120","5","11","Bears",2015
"121","7","8","Panthers",2015
"122","7","9","Saints",2015
"123","6","10","Falcons",2015
"124","2","14","Buccaneers",2015
"125","12","4","Seahawks",2015
"126","11","5","Cardinals",2015
"127","8","8","49ers",2015
"128","6","10","Rams",2015
"129","12","4","Patriots",2016
"130","10","6","Jets",2016
"131","8","8","Bills",2016
"132","6","10","Dolphins",2016
"133","12","4","Bengals",2016
"134","10","6","Steelers",2016
"135","5","11","Ravens",2016
"136","3","13","Browns",2016
"137","9","7","Texans",2016
"138","8","8","Colts",2016
"139","5","11","Jaguars",2016
"140","3","13","Titans",2016
"141","12","4","Broncos",2016
"142","11","5","Chiefs",2016
"143","7","9","Raiders",2016
"144","4","12","Chargers",2016
"145","9","7","Redskins",2016
"146","7","9","Eagles",2016
"147","6","10","Giants",2016
"148","4","12","Cowboys",2016
"149","11","5","Vikings",2016
"150","10","6","Packers",2016
"151","7","9","Lions",2016
"152","6","10","Bears",2016
"153","15","1","Panthers",2016
"154","8","8","Falcons",2016
"155","7","9","Saints",2016
"156","6","10","Buccaneers",2016
"157","13","3","Cardinals",2016
"158","10","6","Seahawks",2016
"159","7","9","Rams",2016
"160","5","11","49ers",2016
"161","14","2","Patriots",2017
"162","10","6","Dolphins",2017
"163","7","9","Bills",2017
"164","5","11","Jets",2017
"165","11","5","Steelers",2017
"166","8","8","Ravens",2017
"167","6","9","Bengals",2017
"168","1","15","Browns",2017
"169","9","7","Texans",2017
"170","9","7","Titans",2017
"171","8","8","Colts",2017
"172","3","13","Jaguars",2017
"173","12","4","Chiefs",2017
"174","12","4","Raiders",2017
"175","9","7","Broncos",2017
"176","5","11","Chargers",2017
"177","13","3","Cowboys",2017
"178","11","5","Giants",2017
"179","8","7","Redskins",2017
"180","7","9","Eagles",2017
"181","10","6","Packers",2017
"182","9","7","Lions",2017
"183","8","8","Vikings",2017
"184","3","13","Bears",2017
"185","11","5","Falcons",2017
"186","9","7","Buccaneers",2017
"187","7","9","Saints",2017
"188","6","10","Panthers",2017
"189","10","5","Seahawks",2017
"190","7","8","Cardinals",2017
"191","4","12","Rams",2017
"192","2","14","49ers",2017
"193","13","3","Patriots",2018
"194","9","7","Bills",2018
"195","6","10","Dolphins",2018
"196","5","11","Jets",2018
"197","13","3","Steelers",2018
"198","9","7","Ravens",2018
"199","7","9","Bengals",2018
"200","0","16","Browns",2018
"201","10","6","Jaguars",2018
"202","9","7","Titans",2018
"203","4","12","Colts",2018
"204","4","12","Texans",2018
"205","10","6","Chiefs",2018
"206","9","7","Chargers",2018
"207","6","10","Raiders",2018
"208","5","11","Broncos",2018
"209","13","3","Eagles",2018
"210","9","7","Cowboys",2018
"211","7","9","Redskins",2018
"212","3","13","Giants",2018
"213","13","3","Vikings",2018
"214","9","7","Lions",2018
"215","7","9","Packers",2018
"216","5","11","Bears",2018
"217","11","5","Saints",2018
"218","11","5","Panthers",2018
"219","10","6","Falcons",2018
"220","5","11","Buccaneers",2018
"221","11","5","Rams",2018
"222","9","7","Seahawks",2018
"223","8","8","Cardinals",2018
"224","6","10","49ers",2018
"225","11","5","Patriots",2019
"226","7","9","Dolphins",2019
"227","6","10","Bills",2019
"228","4","12","Jets",2019
"229","10","6","Ravens",2019
"230","9","6","Steelers",2019
"231","7","8","Browns",2019
"232","6","10","Bengals",2019
"233","11","5","Texans",2019
"234","10","6","Colts",2019
"235","9","7","Titans",2019
"236","5","11","Jaguars",2019
"237","12","4","Chiefs",2019
"238","12","4","Chargers",2019
"239","6","10","Broncos",2019
"240","4","12","Raiders",2019
"241","10","6","Cowboys",2019
"242","9","7","Eagles",2019
"243","7","9","Redskins",2019
"244","5","11","Giants",2019
"245","12","4","Bears",2019
