"","Player","GamesPlayed","Goals","Assists","Points","PointShare","Shots","ShootPerc","FirstYear","LastYear"
"1","Aaron Downey",449,30,45,74,4.7,391,8.15,2000,2009
"2","Aaron Ekblad",391,66,105,171,34.7,946,7.08,2015,2019
"3","Aaron Gagnon",218,28,41,71,4.8,335,9.375,2010,2013
"4","Aaron Gavey",406,77,106,186,19,695,10.6,1999,2006
"5","Aaron Johnson",366,17,59,77,14.9,335,5.11111111111111,2004,2013
"6","Aaron MacKenzie",81,12,43,55,12.2,191,6.6,2009,2009
"7","Aaron Miller",623,30,100,129,30.4,624,3.82,1999,2008
"8","Aaron Ness",356,52,115,174,28.5,636,6.8,2012,2018
"9","Aaron Palushaj",168,18,36,55,4.5,246,5.725,2011,2014
"10","Aaron Rome",393,30,56,86,15.2,438,4.5125,2007,2014
"11","Aaron Volpatti",199,32,33,65,7.8,245,9.06,2011,2015
"12","Aaron Voros",191,21,21,42,2.7,196,11.35,2008,2011
"13","Aaron Ward",794,39,102,141,30.6,634,5.98333333333333,1999,2010
"14","Adam Almqvist",24,0,3,3,-0.3,26,0,2014,2014
"15","Adam Berti",22,0,5,5,0,15,0,2008,2008
"16","Adam Burish",591,52,71,124,5.7,690,6.44444444444444,2007,2015
"17","Adam Burt",162,1,12,13,4.8,128,0.666666666666667,1999,2001
"18","Adam Clendening",199,8,33,41,8.7,199,4.32,2015,2019
"19","Adam Cracknell",477,73,77,151,12.9,648,10.8888888888889,2011,2019
"20","Adam Deadmarsh",336,96,114,209,21.7,654,14.68,1999,2003
"21","Adam Erne",114,13,14,27,1.7,139,9.26666666666667,2017,2019
"22","Adam Foote",789,51,183,234,51.4,847,5.16923076923077,1999,2011
"23","Adam Gaudette",137,25,42,68,5.9,263,9.55,2018,2019
"24","Adam Graves",404,97,71,168,14,826,11,1999,2003
"25","Adam Hall",794,72,101,173,5.8,1093,5.58333333333333,2002,2014
"26","Adam Henrique",673,173,208,382,43.4,1185,14.7111111111111,2011,2019
"27","Adam Johnson",48,5,20,25,2,106,5,2019,2019
"28","Adam Larsson",498,20,101,121,28.8,568,3.425,2012,2019
"29","Adam Lowry",359,53,60,113,8.8,474,11.06,2015,2019
"30","Adam Mair",774,51,104,155,7.5,784,5.69166666666667,2000,2011
"31","Adam McQuaid",535,16,61,77,23.4,425,4.1,2010,2019
"32","Adam Oates*",429,65,283,348,29.1,445,13.8,1999,2004
"33","Adam Pardy",443,14,72,86,18.2,445,2.03333333333333,2009,2017
"34","Adam Payerl",73,23,30,54,7.1,179,13.5,2014,2014
"35","Adam Pelech",244,14,58,72,14.4,328,4.675,2016,2019
"36","Adam Pineault",80,29,46,78,9.5,178,19.5,2008,2008
"37","Adrian Aucoin",1033,108,254,363,76,1922,4.82666666666667,1999,2013
"38","Adrian Kempe",187,30,41,71,6.6,269,9.96666666666667,2017,2019
"39","Aki Berg",516,14,54,69,16,391,3.65714285714286,2000,2006
"40","Akim Aliu",139,33,63,95,9.9,346,9.85,2012,2013
"41","Al MacInnis*",430,78,227,305,59.4,1436,5.41666666666667,1999,2004
"42","Alain Nasreddine",295,18,91,110,24.5,468,3.3,1999,2008
"43","Alan Letang",178,7,32,39,7,182,3.33333333333333,2000,2003
"44","Alan Quine",228,48,57,105,11.5,424,8.575,2016,2019
"45","Alec Martinez",573,61,134,195,45.4,838,6.51,2010,2019
"46","Aleksander Barkov",413,135,210,345,38.8,985,13.4833333333333,2014,2019
"47","Aleksey Morozov",375,71,122,193,17.7,588,12.4666666666667,1999,2004
"48","Ales Hemsky",982,203,458,660,63,1928,10.775,2003,2018
"49","Ales Kotalik",601,143,155,298,28.6,1458,9.59,2002,2011
"50","Ales Pisa",82,1,6,7,2.9,64,1.35,2002,2003
"51","Alex Biega",199,5,36,40,7.1,287,2.1,2015,2019
"52","Alex Broadhurst",78,25,28,53,6.7,179,16.7,2018,2018
"53","Alex Brooks",80,2,9,11,3.3,50,2.6,2007,2007
"54","Alex Chiasson",508,83,97,180,15.6,696,12.1428571428571,2013,2019
"55","Alex DeBrincat",164,69,59,128,15.3,401,17.05,2018,2019
"56","Alex Formenton",116,30,68,95,10,252,10.65,2018,2019
"57","Alex Foster",78,18,22,40,3.9,138,14.5,2008,2008
"58","Alex Friesen",41,4,10,14,1,54,7.3,2016,2016
"59","Alex Frolov",636,183,252,434,47.1,1376,12.7666666666667,2003,2011
"60","Alex Galchenyuk",490,127,169,296,32.3,1029,12.5,2013,2019
"61","Alex Goligoski",872,79,309,388,69.1,1341,5.85833333333333,2008,2019
"62","Alex Grant",94,2,20,21,4,97,1.2,2014,2016
"63","Alex Henry",289,33,49,81,8,310,4.72,2003,2009
"64","Alex Hicks",120,23,30,54,5.2,230,6.35,1999,2000
"65","Alex Iafallo",157,24,34,58,4.4,277,8.55,2018,2019
"66","Alex Killorn",517,105,156,261,26.2,1024,10.1571428571429,2013,2019
"67","Alex Kovalev",1007,321,453,774,80.3,2724,11.7857142857143,1999,2013
"68","Alex Ovechkin",1084,658,553,1211,163.7,5234,12.6428571428571,2006,2019
"69","Alex Pietrangelo",823,109,349,457,92.1,1835,5.98181818181818,2009,2019
"70","Alex Plante",193,36,44,80,12.9,293,9.7,2010,2012
"71","Alex Selivanov",198,49,50,99,10.2,403,12.5666666666667,1999,2001
"72","Alex Steen",963,238,367,605,63.5,2360,9.95,2006,2019
"73","Alex Tanguay",1223,332,625,954,107.8,1930,17.4411764705882,2000,2016
"74","Alex Tuch",208,42,62,104,10.3,417,10.2666666666667,2017,2019
"75","Alex Zhamnov",509,121,270,391,35.7,1105,10.2,1999,2006
"76","Alexander Burmistrov",348,37,64,101,4.8,435,8.91666666666667,2011,2018
"77","Alexander Edler",814,94,274,368,65.8,1804,5.73076923076923,2007,2019
"78","Alexander Karpovtsev",385,15,97,113,22.4,369,4.34285714285714,1999,2006
"79","Alexander Kerfoot",157,34,51,85,7.9,197,18.2,2018,2019
"80","Alexander Kharitonov",119,15,29,45,3.8,187,8.65,2001,2002
"81","Alexander Khavanov",417,34,87,121,26.2,498,7.33333333333333,2001,2006
"82","Alexander Khokhlachev",212,33,49,81,8.5,313,10.4666666666667,2014,2016
"83","Alexander Korolyuk",277,60,77,137,15.9,517,11.22,1999,2004
"84","Alexander Mogilny",457,174,242,416,49.2,1176,14.0625,1999,2006
"85","Alexander Nikulin",107,30,35,65,7.1,226,10.65,2008,2009
"86","Alexander Nylander",132,22,15,37,3.2,196,11.7333333333333,2017,2019
"87","Alexander Perezhogin",128,15,19,34,3.2,212,7.05,2006,2007
"88","Alexander Petrovic",339,9,57,67,13.9,340,2.35714285714286,2013,2019
"89","Alexander Radulov",428,132,184,316,36.8,950,14.1333333333333,2007,2019
"90","Alexander Semin",717,259,300,559,70.7,2034,12.1181818181818,2004,2016
"91","Alexander Suglobov",206,58,71,128,14.7,448,11.8333333333333,2004,2007
"92","Alexander Sulzer",264,25,53,78,13.5,303,5.76666666666667,2009,2014
"93","Alexander Svitov",179,13,24,37,1.2,204,6,2003,2007
"94","Alexander Urbom",269,17,70,89,16.5,388,4.2,2011,2014
"95","Alexander Vasyunov",77,19,17,36,3.7,181,11.4,2011,2011
"96","Alexander Wennberg",358,35,144,179,13.4,429,7.74,2015,2019
"97","Alexandre Boikov",110,4,20,24,5.4,154,2.5,2000,2001
"98","Alexandre Bolduc",256,22,32,54,4.7,260,8.86666666666667,2009,2015
"99","Alexandre Burrows",913,205,204,409,47.1,1736,10.9538461538462,2006,2018
"100","Alexandre Carrier",78,9,23,33,6.5,133,5.9,2017,2017
"101","Alexandre Daigle",315,47,86,133,11.8,410,10.15,1999,2006
"102","Alexandre Fortin",24,3,3,6,0.2,29,10.3,2019,2019
